title,id,genre,release_date,budget,revenue,vote_average
Six-String Samurai,24746,Action,1998.0,2000000,124494,5.8
How Stella Got Her Groove Back,33644,Comedy,1998.0,20000000,37672350,6.0
Blade,36647,Horror,1998.0,45000000,131183530,6.5
He Got Game,9469,Drama,1998.0,25000000,21567853,6.7
Shakespeare in Love,1934,Romance,1998.0,25000000,289317794,6.8
A Bug's Life,9487,Adventure,1998.0,120000000,363258859,6.8
Very Bad Things,10029,Comedy,1998.0,30000000,9898412,6.2
Fear and Loathing in Las Vegas,1878,Adventure,1998.0,18500000,10680275,7.2
Can't Hardly Wait,15037,Comedy,1998.0,10000000,25605015,6.1
Woo,58680,Comedy,1998.0,13000000,8026971,5.5
Bulworth,9452,Comedy,1998.0,30000000,29202884,6.3
Bride of Chucky,11932,Horror,1998.0,25000000,50671850,5.5
Ever After: A Cinderella Story,9454,Drama,1998.0,26000000,65705772,6.8
The Faculty,9276,Horror,1998.0,15000000,40283321,6.2
A Night at the Roxbury,9429,Comedy,1998.0,17000000,30331165,5.9
Rushmore,11545,Comedy,1998.0,9000000,17096053,7.5
Elizabeth,4518,Drama,1998.0,30000000,82150642,7.1
Sphere,10153,Science Fiction,1998.0,75000000,13100000,5.8
Austin Powers: The Spy Who Shagged Me,817,Adventure,1999.0,33000000,310940086,6.2
The Story of Us,12220,Comedy,1999.0,50000000,58900031,5.9
The Wood,16158,Comedy,1999.0,6000000,25059640,7.1
American Pie,2105,Comedy,1999.0,11000000,235483004,6.4
The Iron Giant,10386,Adventure,1999.0,70000000,23159305,7.6
The Messenger: The Story of Joan of Arc,10047,Adventure,1999.0,60000000,66976317,6.2
Dick,16406,Comedy,1999.0,13000000,27500000,5.7
Analyze This,9535,Comedy,1999.0,80000000,176885658,6.4
Baby Geniuses,22345,Science Fiction,1999.0,12000000,36450736,3.3
10 Things I Hate About You,4951,Comedy,1999.0,16000000,53478166,7.3
Being John Malkovich,492,Fantasy,1999.0,13000000,22863596,7.3
Blast from the Past,11622,Comedy,1999.0,35000000,40263020,6.3
Stuart Little,10137,Animation,1999.0,133000000,300135367,5.8
The Haunting,11618,Horror,1999.0,80000000,91188905,5.2
Stir of Echoes,11601,Horror,1999.0,12000000,21133087,6.5
8MM,8224,Thriller,1999.0,40000000,96618699,6.1
Dogma,1832,Fantasy,1999.0,10000000,30652890,6.8
Star Wars: Episode I - The Phantom Menace,1893,Adventure,1999.0,115000000,924317558,6.3
The Corruptor,9455,Action,1999.0,25000000,15156200,6.0
Office Space,1542,Comedy,1999.0,10000000,12827813,7.4
Drop Dead Gorgeous,10490,Comedy,1999.0,10000000,10571408,6.4
The Limey,10388,Action,1999.0,10000000,3193102,6.6
Idle Hands,6552,Thriller,1999.0,25000000,4152230,6.1
Toy Story 2,863,Animation,1999.0,90000000,497366869,7.3
Stigmata,10307,Horror,1999.0,29000000,50041732,6.0
Drive Me Crazy,14429,Drama,1999.0,8000000,22593409,5.8
The Best Man,16162,Drama,1999.0,9000000,34573780,6.8
200 Cigarettes,15256,Comedy,1999.0,6000000,6852450,6.1
The 13th Warrior,1911,Adventure,1999.0,160000000,61698899,6.4
Double Jeopardy,10398,Crime,1999.0,70000000,177841558,6.2
Notting Hill,509,Romance,1999.0,42000000,363889678,7.0
The Sixth Sense,745,Mystery,1999.0,40000000,672806292,7.7
Limbo,62676,Adventure,1999.0,8000000,1997807,7.0
The Talented Mr. Ripley,1213,Thriller,1999.0,40000000,128798265,7.0
Galaxy Quest,926,Comedy,1999.0,45000000,90683916,6.9
The Out-of-Towners,8970,Comedy,1999.0,75000000,29000000,5.0
She's All That,10314,Comedy,1999.0,10000000,103166989,5.7
Go,9430,Crime,1999.0,6500000,28451622,7.0
Tea with Mussolini,10368,Comedy,1999.0,12000000,21001563,5.8
Fantasia 2000,49948,Animation,1999.0,80000000,90874570,7.0
Blue Streak,11001,Action,1999.0,65000000,117758500,6.1
The Bone Collector,9481,Drama,1999.0,73000000,151493655,6.5
Three Kings,6415,Action,1999.0,75000000,108000000,6.6
Outside Providence,14578,Romance,1999.0,7000000,7292175,5.6
Big Daddy,9032,Comedy,1999.0,34200000,234801895,6.1
In Too Deep,22314,Drama,1999.0,7000000,14011454,6.2
Magnolia,334,Drama,1999.0,37000000,48451803,7.5
Chill Factor,2162,Action,1999.0,70000000,11263966,5.3
Cruel Intentions,796,Drama,1999.0,10500000,75902208,6.6
The Thomas Crown Affair,913,Drama,1999.0,48000000,124305181,6.6
The Ninth Gate,622,Horror,1999.0,38000000,58401898,6.3
The Hurricane,10400,Drama,1999.0,50000000,73956241,7.2
The Astronaut's Wife,2900,Drama,1999.0,75000000,19598588,5.4
An Ideal Husband,24137,Drama,1999.0,14000000,18535191,6.3
Universal Soldier: The Return,10366,Action,1999.0,45000000,10667893,4.2
The Deep End of the Ocean,30943,Drama,1999.0,38000000,28121100,5.9
Ride with the Devil,22267,Drama,1999.0,38000000,635096,6.6
The Virgin Suicides,1443,Drama,1999.0,6000000,10409377,7.1
The End of the Affair,20024,Drama,1999.0,23000000,10827816,6.6
Simply Irresistible,16172,Comedy,1999.0,6000000,4398989,5.5
Muppets from Space,10208,Fantasy,1999.0,24000000,16290976,5.8
Man on the Moon,1850,Comedy,1999.0,82000000,47434430,6.9
The Rage: Carrie 2,7341,Horror,1999.0,21000000,17762705,5.1
Deuce Bigalow: Male Gigolo,10402,Comedy,1999.0,17000000,65535067,5.5
Eyes Wide Shut,345,Mystery,1999.0,65000000,162091208,7.1
End of Days,9946,Action,1999.0,100000000,211989043,5.5
American Beauty,14,Drama,1999.0,15000000,356296601,7.9
Beyond the Mat,14271,Documentary,1999.0,2053648,500000,7.8
eXistenZ,1946,Action,1999.0,15000000,2856712,6.7
Random Hearts,12618,Drama,1999.0,64000000,74608570,5.3
Boys Don't Cry,226,Crime,1999.0,2000000,11540607,7.2
Play It to the Bone,20761,Comedy,1999.0,24000000,8434146,5.7
The Matrix,603,Action,1999.0,63000000,463517383,7.9
Brokedown Palace,17707,Drama,1999.0,25000000,13000000,6.2
Deep Blue Sea,8914,Action,1999.0,60000000,73648228,5.6
Godzilla 2000,10643,Adventure,1999.0,1000000,10037390,5.9
The Green Mile,497,Fantasy,1999.0,60000000,284600000,8.2
Jawbreaker,18892,Comedy,1999.0,3000000,3076820,5.9
The Blair Witch Project,2667,Horror,1999.0,60000,248000000,6.3
Detroit Rock City,9781,Comedy,1999.0,6500000,4217115,6.7
Fight Club,550,Drama,1999.0,63000000,100853753,8.3
The Thirteenth Floor,1090,Thriller,1999.0,16000000,18564088,6.8
Entrapment,1844,Romance,1999.0,66000000,212404396,6.0
Runaway Bride,4806,Comedy,1999.0,70000000,309457509,5.7
Bicentennial Man,2277,Comedy,1999.0,100000000,93700000,6.9
Any Given Sunday,9563,Drama,1999.0,55000000,100230832,6.8
Lake Placid,9825,Horror,1999.0,27000000,56870414,5.5
Message in a Bottle,10207,Romance,1999.0,80000000,118880016,5.8
East Is East,10557,Comedy,1999.0,3800000,28200000,6.5
The World Is Not Enough,36643,Adventure,1999.0,135000000,361832400,6.0
House on Haunted Hill,11377,Horror,1999.0,19000000,40846082,5.5
Wild Wild West,8487,Action,1999.0,170000000,222104681,5.1
Payback,2112,Drama,1999.0,90000000,161626121,6.7
Human Traffic,11129,Comedy,1999.0,600000,4000000,6.8
My Favorite Martian,9849,Comedy,1999.0,65000000,36850101,5.1
Tumbleweeds,55123,Comedy,1999.0,312000,1281176,6.2
The General's Daughter,2275,Crime,1999.0,60000000,149705852,6.1
Mystery Men,9824,Adventure,1999.0,68000000,29762011,5.7
Anywhere But Here,21349,Drama,1999.0,23000000,18653615,5.9
"Mystery, Alaska",15198,Drama,1999.0,28000000,8888143,6.0
The Insider,9008,Drama,1999.0,90000000,60289912,7.3
"Happy, Texas",24066,Comedy,1999.0,1700000,1943649,5.5
Pokémon: Spell of the Unknown,10991,Adventure,2000.0,16000000,68411275,5.9
Boys and Girls,10571,Comedy,2000.0,16000000,20627372,5.4
The Perfect Storm,2133,Drama,2000.0,120000000,325756637,6.2
Coyote Ugly,6282,Comedy,2000.0,45000000,113916474,5.8
Keeping the Faith,4967,Comedy,2000.0,30000000,37036004,5.9
High Fidelity,243,Comedy,2000.0,30000000,47126295,7.0
The Broken Hearts Club: A Romantic Comedy,22597,Comedy,2000.0,1000000,1744858,6.3
Pay It Forward,10647,Drama,2000.0,40000000,55707411,7.0
The Little Vampire,24100,Family,2000.0,22000000,13555988,6.1
Meet the Parents,1597,Comedy,2000.0,55000000,330444045,6.6
Highlander: Endgame,12211,Action,2000.0,25000000,15843608,4.4
How the Grinch Stole Christmas,8871,Family,2000.0,123000000,345141403,6.2
Fiza,56666,Drama,2000.0,1000000,623791,6.1
Hanging Up,10385,Comedy,2000.0,40000000,36037909,5.0
Cast Away,8358,Adventure,2000.0,90000000,429632142,7.5
Brother,327,Crime,2000.0,12000000,15250000,6.8
Get Carter,10461,Action,2000.0,63600000,19412993,4.8
Chicken Run,7443,Animation,2000.0,45000000,224834564,6.5
Snatch,107,Thriller,2000.0,10000000,83557872,7.7
Road Trip,9285,Comedy,2000.0,16000000,119754278,5.9
Almost Famous,786,Drama,2000.0,60000000,47383689,7.4
American Psycho,1359,Thriller,2000.0,7000000,34266564,7.3
The Legend of Bagger Vance,4958,Fantasy,2000.0,80000000,39459427,6.3
The Patriot,2024,Drama,2000.0,110000000,215294342,6.8
The Art of War,11398,Crime,2000.0,40000000,30199105,5.6
Shadow of the Vampire,10873,Drama,2000.0,8000000,8279017,6.6
Space Cowboys,5551,Action,2000.0,65000000,128884132,6.3
The 6th Day,8452,Science Fiction,2000.0,82000000,96085477,5.7
Supernova,10384,Horror,2000.0,90000000,14828081,4.9
The Kid,4244,Fantasy,2000.0,65000000,69700000,6.0
Chocolat,392,Comedy,2000.0,25000000,152500343,6.8
What Lies Beneath,2655,Drama,2000.0,100000000,155464351,6.3
Bring It On,1588,Comedy,2000.0,28000000,90449929,5.8
Ready to Rumble,20697,Action,2000.0,24000000,12372410,4.7
Urban Legends: Final Cut,12212,Horror,2000.0,14000000,38574362,4.4
Frequency,10559,Crime,2000.0,31000000,68106245,7.0
The Ladies Man,16888,Comedy,2000.0,24000000,13700000,5.7
Big Momma's House,9600,Crime,2000.0,30000000,173959438,5.6
Romeo Must Die,2085,Action,2000.0,25000000,91036760,6.0
The Flintstones in Viva Rock Vegas,889,Science Fiction,2000.0,83000000,59468275,4.4
Battlefield Earth,5491,Action,2000.0,44000000,21400000,3.0
Finding Forrester,711,Drama,2000.0,43000000,80049764,7.0
Mission: Impossible II,955,Adventure,2000.0,125000000,546388105,5.9
3 Strikes,47816,Action,2000.0,6000000,9000000,5.9
Return to Me,2621,Romance,2000.0,24000000,36609995,6.1
Drowning Mona,25166,Comedy,2000.0,16000000,15427192,5.4
Shanghai Noon,8584,Adventure,2000.0,55000000,56932305,6.2
Love & Basketball,14736,Action,2000.0,20000000,27728118,7.4
Gone in Sixty Seconds,9679,Action,2000.0,90000000,237202299,6.1
"Me, Myself & Irene",2123,Comedy,2000.0,51000000,149270999,6.1
Miss Congeniality,1493,Comedy,2000.0,45000000,212000000,6.1
Remember the Titans,10637,Drama,2000.0,30000000,136706683,7.4
Nutty Professor II: The Klumps,12107,Fantasy,2000.0,84000000,123307945,4.7
Hollow Man,9383,Action,2000.0,95000000,190213455,5.6
Dancer in the Dark,16,Drama,2000.0,12800000,40031879,7.6
Gladiator,98,Action,2000.0,103000000,457640427,7.9
Final Destination,9532,Horror,2000.0,23000000,53302314,6.4
Memento,77,Mystery,2000.0,9000000,39723096,8.1
Gossip,18041,Drama,2000.0,14000000,5108820,5.5
Vertical Limit,11678,Action,2000.0,75000000,215663859,5.9
Erin Brockovich,462,Drama,2000.0,52000000,256271286,7.1
Men of Honor,11978,Drama,2000.0,32000000,48814909,7.0
Pitch Black,2787,Thriller,2000.0,23000000,53187659,6.7
The Next Best Thing,1831,Comedy,2000.0,25000000,24362772,4.3
Gun Shy,29076,Action,2000.0,10000000,1631839,5.4
X-Men,36657,Adventure,2000.0,75000000,296339527,6.8
"O Brother, Where Art Thou?",134,Action,2000.0,26000000,71868327,7.3
The Beach,1907,Drama,2000.0,40000000,144056873,6.3
The Adventures of Rocky & Bullwinkle,17711,Action,2000.0,76000000,35134820,3.9
Quills,10876,Drama,2000.0,13500000,7060876,6.8
The House of Mirth,25520,Drama,2000.0,10000000,5164404,6.4
Where the Heart Is,10564,Comedy,2000.0,15000000,33771174,6.9
U-571,3536,Action,2000.0,62000000,127666415,6.1
The Skulls,11478,Crime,2000.0,15000000,35007180,5.8
"Dude, Where’s My Car?",8859,Comedy,2000.0,13000000,73180723,5.2
Next Friday,10471,Comedy,2000.0,11000000,59827328,6.4
The In Crowd,36047,Thriller,2000.0,15000000,5217498,4.7
Billy Elliot,71,Drama,2000.0,5000000,110000000,7.4
The Cell,8843,Horror,2000.0,33000000,104155843,6.0
Amores perros,55,Drama,2000.0,2000000,20908467,7.6
The Way of the Gun,1619,Action,2000.0,8500000,19125401,6.4
Thirteen Days,11973,Drama,2000.0,80000000,34566746,6.9
Requiem for a Dream,641,Crime,2000.0,4500000,7390108,7.9
The Whole Nine Yards,2069,Comedy,2000.0,41300000,106371651,6.2
Mission to Mars,2067,Science Fiction,2000.0,90000000,60874615,5.7
Boiler Room,14181,Crime,2000.0,26000000,28780255,6.5
Reindeer Games,2155,Thriller,2000.0,42000000,32168970,5.4
Isn't She Great,75531,Drama,2000.0,36000000,3003296,4.6
The Tigger Movie,15655,Animation,2000.0,30000000,45554533,6.3
Red Planet,8870,Thriller,2000.0,80000000,33463969,5.4
Charlie's Angels,4327,Action,2000.0,92000000,264105545,5.6
Bedazzled,1636,Fantasy,2000.0,48000000,90383208,5.6
Unbreakable,9741,Science Fiction,2000.0,75000000,248118121,6.9
Traffic,1900,Thriller,2000.0,48000000,207515725,6.9
The Emperor's New Groove,11688,Adventure,2000.0,100000000,169327687,7.2
Dinosaur,10567,Animation,2000.0,127500000,354248063,6.2
Dracula 2000,10577,Thriller,2000.0,28000000,33000337,4.6
Center Stage,10560,Drama,2000.0,18000000,17200925,6.8
Scream 3,4234,Horror,2000.0,40000000,161834276,5.7
Titan A.E.,7450,Animation,2000.0,75000000,36754634,6.3
What Women Want,3981,Comedy,2000.0,70000000,374111707,6.1
The Road to El Dorado,10501,Adventure,2000.0,95000000,76432727,7.0
Shaft,479,Action,2000.0,46000000,107196498,5.5
Whatever It Takes,16222,Drama,2000.0,15000000,9902115,5.0
"Crouching Tiger, Hidden Dragon",146,Adventure,2000.0,17000000,213525736,7.2
102 Dalmatians,10481,Comedy,2000.0,85000000,183611771,5.1
The Mummy Returns,1734,Adventure,2001.0,98000000,433013274,6.0
Antitrust,9989,Action,2001.0,30000000,18195610,5.8
Rush Hour 2,5175,Action,2001.0,90000000,347325802,6.4
Enemy at the Gates,853,War,2001.0,68000000,96976270,7.2
3000 Miles to Graceland,12138,Action,2001.0,62000000,18720175,5.8
Sweet November,1921,Drama,2001.0,40000000,65754228,6.4
Saving Silverman,10878,Comedy,2001.0,22000000,19351569,5.4
"Monsters, Inc.",585,Animation,2001.0,115000000,562816256,7.5
Legally Blonde,8835,Comedy,2001.0,18000000,141774679,6.1
Jeepers Creepers,8922,Horror,2001.0,10000000,59217789,6.1
Mulholland Drive,1018,Thriller,2001.0,15000000,20117339,7.6
Recess: School's Out,19405,Science Fiction,2001.0,10000000,44460850,6.6
Jurassic Park III,331,Adventure,2001.0,93000000,368780809,5.7
The Musketeer,11370,Action,2001.0,40000000,27053815,5.2
Rock Star,12508,Music,2001.0,57000000,16991902,6.0
Kissing Jessica Stein,15647,Comedy,2001.0,1000000,10013424,5.9
L.I.E.,18734,Drama,2001.0,700000,1667192,6.7
Zoolander,9398,Comedy,2001.0,28000000,60780981,6.1
Ali,8489,Drama,2001.0,107000000,87713825,6.7
Spy Kids,10054,Action,2001.0,35000000,147934180,5.5
Monkeybone,23685,Adventure,2001.0,75000000,5409517,4.3
The Tailor of Panama,2575,Drama,2001.0,21000000,28008462,6.2
Bandits,3172,Action,2001.0,75000000,67631903,6.2
Jason X,11470,Horror,2001.0,11000000,16951798,4.5
Head Over Heels,24940,Comedy,2001.0,14000000,10424470,5.3
Town & Country,24113,Comedy,2001.0,90000000,10372291,3.7
A.I. Artificial Intelligence,644,Drama,2001.0,100000000,235926552,6.8
Winged Migration,11516,Documentary,2001.0,35866397,20217080,7.0
Ayurveda: Art of Being,73981,Documentary,2001.0,300000,2074000,5.5
Joy Ride,10866,Mystery,2001.0,23000000,36642838,6.3
Lovely & Amazing,50035,Comedy,2001.0,250000,4186931,6.3
Ghosts of Mars,10016,Action,2001.0,28000000,14010832,4.8
Gosford Park,5279,Drama,2001.0,19800000,87754044,6.8
Crazy/Beautiful,10691,Drama,2001.0,13000000,16929123,6.6
American Outlaws,13496,Action,2001.0,35000000,13678913,5.7
Save the Last Dance,9816,Drama,2001.0,13000000,91038276,6.3
A Beautiful Mind,453,Drama,2001.0,60000000,313542341,7.7
Planet of the Apes,869,Thriller,2001.0,100000000,362211740,5.6
Lara Croft: Tomb Raider,1995,Adventure,2001.0,115000000,274703340,5.7
How High,8386,Comedy,2001.0,12000000,31155435,6.3
Dr. Dolittle 2,10808,Comedy,2001.0,70000000,176104344,4.9
The Lord of the Rings: The Fellowship of the Ring,120,Adventure,2001.0,93000000,871368364,8.0
Serendipity,9778,Comedy,2001.0,28000000,77516304,6.6
Amélie,194,Comedy,2001.0,10000000,173921954,7.8
The Believer,4012,Drama,2001.0,1500000,416925,6.8
Exit Wounds,10877,Action,2001.0,50000000,79958599,5.3
The Score,11371,Action,2001.0,68000000,71069884,6.7
Session 9,10972,Horror,2001.0,1500000,373967,6.2
Along Came a Spider,2043,Crime,2001.0,60000000,105178561,6.1
Bridget Jones's Diary,634,Comedy,2001.0,25000000,281929795,6.5
Super Troopers,39939,Comedy,2001.0,3000000,18492362,6.6
Osmosis Jones,12610,Adventure,2001.0,75000000,13596911,5.9
The Animal,11090,Action,2001.0,22000000,84772742,4.6
Frailty,12149,Drama,2001.0,11000000,13110448,7.0
I Am Sam,10950,Drama,2001.0,22000000,92542418,7.2
Tomcats,10646,Comedy,2001.0,11000000,23430766,4.9
Angel Eyes,5852,Drama,2001.0,53000000,29700000,5.6
Corky Romano,17708,Action,2001.0,11000000,23978402,4.1
Black Hawk Down,855,Action,2001.0,92000000,172989651,7.2
Brigham City,26791,Crime,2001.0,1000000,852206,7.3
The Wedding Planner,2018,Comedy,2001.0,35000000,94728529,5.5
Vanilla Sky,1903,Drama,2001.0,68000000,203388341,6.5
Jimmy Neutron: Boy Genius,12589,Action,2001.0,25000000,80936232,5.6
The Royal Tenenbaums,9428,Comedy,2001.0,21000000,71441250,7.4
Max Keeble's Big Move,34549,Comedy,2001.0,12000000,17292381,5.4
Driven,10477,Action,2001.0,94000000,54744738,4.5
The Majestic,11086,Drama,2001.0,72000000,37317558,6.6
Out Cold,14369,Comedy,2001.0,24000000,14782676,5.8
Summer Catch,26602,Drama,2001.0,34000000,19693891,4.8
Shallow Hal,9889,Comedy,2001.0,40000000,141069860,5.7
Training Day,2034,Action,2001.0,45000000,104876233,7.3
A Knight's Tale,9476,Adventure,2001.0,65000000,117487473,6.6
Donnie Darko,141,Fantasy,2001.0,6000000,1270522,7.7
K-PAX,167,Drama,2001.0,48000000,50315140,7.1
Crocodile Dundee in Los Angeles,9290,Adventure,2001.0,21150000,39438674,4.7
Knockaround Guys,7501,Crime,2001.0,15000000,12000000,5.9
The Princess Diaries,9880,Comedy,2001.0,37000000,165335153,6.5
Kiss of the Dragon,2140,Action,2001.0,25000000,64437847,6.4
The Fast and the Furious,9799,Action,2001.0,38000000,207283925,6.6
15 Minutes,2749,Action,2001.0,60000000,56359980,5.7
Shrek,808,Adventure,2001.0,60000000,484409218,7.3
Harry Potter and the Philosopher's Stone,671,Adventure,2001.0,125000000,976475550,7.5
Riding in Cars with Boys,11091,Comedy,2001.0,48000000,35743308,6.5
Blow,4133,Crime,2001.0,53000000,83282296,7.4
The Pledge,5955,Crime,2001.0,35000000,29400000,6.5
Y Tu Mamá También,1391,Drama,2001.0,5000000,33616692,7.3
Scary Movie 2,4248,Comedy,2001.0,45000000,141220678,5.4
Domestic Disturbance,11456,Mystery,2001.0,75000000,54249294,5.4
Atlantis: The Lost Empire,10865,Animation,2001.0,120000000,186053725,6.7
The Last Castle,2100,Action,2001.0,72000000,27642707,7.0
The One,10796,Action,2001.0,49000000,72700000,5.7
American Pie 2,2770,Comedy,2001.0,30000000,287553595,6.0
Moulin Rouge!,824,Drama,2001.0,52500000,179213434,7.4
Hardball,20857,Comedy,2001.0,32000000,40222729,6.3
The Other Side of Heaven,16651,Action,2001.0,7000000,4720371,6.7
Made,15745,Action,2001.0,5000000,5476060,6.3
Rat Race,9896,Adventure,2001.0,48000000,85498534,6.0
Pearl Harbor,676,History,2001.0,140000000,449220945,6.6
Final Fantasy: The Spirits Within,2114,Adventure,2001.0,137000000,85131830,5.9
Glitter,10696,Drama,2001.0,22000000,5271666,3.4
Swordfish,9705,Action,2001.0,102000000,147080413,6.1
Novocaine,20794,Comedy,2001.0,6000000,2025238,6.0
Cats & Dogs,10992,Comedy,2001.0,60000000,93375151,5.0
Not Another Teen Movie,11397,Comedy,2001.0,16000000,66468332,5.5
Behind Enemy Lines,8007,Action,2001.0,40000000,91753202,6.0
Captain Corelli's Mandolin,1722,Drama,2001.0,57000000,62112895,5.5
Don't Say a Word,12103,Thriller,2001.0,50000000,100020092,6.0
Hearts in Atlantis,11313,Drama,2001.0,31000000,24185781,6.4
Ocean's Eleven,161,Thriller,2001.0,85000000,450717150,7.2
Spirited Away,129,Fantasy,2001.0,15000000,274925095,8.3
The Glass House,2176,Drama,2001.0,30000000,23619609,5.4
The Mexican,6073,Action,2001.0,57000000,147845033,5.8
Original Sin,2057,Drama,2001.0,42000000,35402320,5.8
Spy Game,1535,Action,2001.0,92000000,143049560,6.8
From Hell,768,Horror,2001.0,35000000,74558115,6.6
Monster's Ball,1365,Drama,2001.0,4000000,44909486,6.5
Jay and Silent Bob Strike Back,2294,Comedy,2001.0,22000000,33788161,6.4
The Wash,13408,Action,2001.0,7000000,10229331,5.3
Joe Dirt,10956,Mystery,2001.0,17700000,30987695,5.5
Baby Boy,16161,Crime,2001.0,16000000,29381649,7.4
Blue Crush,9266,Adventure,2002.0,25000000,51842679,5.6
Femme Fatale,9280,Thriller,2002.0,35000000,16838910,6.2
One Hour Photo,9357,Horror,2002.0,12000000,52223306,6.6
All About the Benjamins,13950,Action,2002.0,14000000,25482931,5.8
Scooby-Doo,9637,Mystery,2002.0,84000000,275650703,5.4
D-Tox,10375,Action,2002.0,55000000,6416302,5.3
Maid in Manhattan,7303,Comedy,2002.0,55000000,154906693,5.6
Blue Car,46989,Drama,2002.0,1000000,464000,6.7
Spirit: Stallion of the Cimarron,9023,Western,2002.0,80000000,122563539,7.4
Signs,2675,Drama,2002.0,72000000,408247917,6.4
Frida,1360,Drama,2002.0,12000000,56298474,7.3
Raising Victor Vargas,25461,Drama,2002.0,800000,2816116,7.8
xXx,7451,Action,2002.0,70000000,277448382,5.8
Men in Black II,608,Action,2002.0,140000000,441818803,6.0
25th Hour,1429,Crime,2002.0,15000000,13060843,7.2
Insomnia,320,Crime,2002.0,46000000,113714830,6.8
Treasure Planet,9016,Adventure,2002.0,140000000,109578115,7.2
Die Another Day,36669,Adventure,2002.0,140000000,431971116,5.8
John Q,8470,Drama,2002.0,36000000,102244770,7.0
Chicago,1574,Action,2002.0,45000000,306776732,6.9
Blade II,36586,Fantasy,2002.0,54000000,155010032,6.2
Adaptation.,2757,Comedy,2002.0,19000000,32801173,7.3
Panic Room,4547,Crime,2002.0,48000000,196397415,6.5
Jackass: The Movie,9012,Documentary,2002.0,5000000,64282312,6.1
Big Fat Liar,11870,Comedy,2002.0,15000000,52970014,5.6
Queen of the Damned,11979,Drama,2002.0,35000000,45479110,5.4
National Lampoon’s Van Wilder,11452,Comedy,2002.0,5000000,38275483,5.9
Halloween: Resurrection,11442,Horror,2002.0,13000000,37664855,4.5
Punch-Drunk Love,8051,Comedy,2002.0,25000000,17000000,6.9
Far from Heaven,10712,Drama,2002.0,13500000,29027914,6.9
Bend It Like Beckham,455,Comedy,2002.0,3500159,76578641,6.2
Drumline,13497,Drama,2002.0,20000000,57588485,6.2
Red Dragon,9533,Crime,2002.0,78000000,209196298,6.7
The Spanish Apartment,1555,Drama,2002.0,5300000,3897799,7.0
Harry Potter and the Chamber of Secrets,672,Adventure,2002.0,100000000,876688482,7.4
Return to Never Land,16690,Adventure,2002.0,20000000,109862682,6.1
Unfaithful,2251,Thriller,2002.0,50000000,119137784,6.3
Tadpole,39141,Comedy,2002.0,150000,2891288,5.5
The Lord of the Rings: The Two Towers,121,Adventure,2002.0,79000000,926287400,8.0
The Pianist,423,Drama,2002.0,35000000,120072577,8.0
Murder by Numbers,11892,Crime,2002.0,50000000,56714147,6.0
The Time Machine,2135,Science Fiction,2002.0,80000000,123729176,5.8
Barbershop,10611,Comedy,2002.0,12000000,75781642,6.2
The Quiet American,8198,Drama,2002.0,30000000,27674124,6.4
Auto Focus,14112,Drama,2002.0,7000000,2062066,6.1
Catch Me If You Can,640,Drama,2002.0,52000000,352114312,7.7
My Big Fat Greek Wedding,8346,Comedy,2002.0,5000000,368744044,6.2
Undisputed,15070,Action,2002.0,20000000,12398628,6.1
Spider-Man,557,Fantasy,2002.0,139000000,821708551,6.8
Equilibrium,7299,Action,2002.0,20000000,5359645,6.9
Collateral Damage,9884,Action,2002.0,85000000,78382433,5.5
Antwone Fisher,13435,Drama,2002.0,12500000,23367586,6.7
Minority Report,180,Action,2002.0,102000000,358372926,7.1
Mr. Deeds,2022,Comedy,2002.0,50000000,171269535,5.6
Blood Work,9573,Crime,2002.0,50000000,26199517,6.1
Resident Evil,1576,Horror,2002.0,33000000,102984862,6.4
Crossroads,17130,Action,2002.0,12000000,61141030,4.7
Lilo & Stitch,11544,Animation,2002.0,80000000,145771527,7.1
Changing Lanes,1537,Action,2002.0,45000000,94935764,5.9
We Were Soldiers,10590,Action,2002.0,75000000,114660784,6.7
K-19: The Widowmaker,8665,Drama,2002.0,100000000,35168966,6.1
Undercover Brother,12277,Action,2002.0,25000000,41604473,5.5
8 Mile,65,Drama,2002.0,41000000,215000000,6.8
Gangs of New York,3131,Drama,2002.0,100000000,193772504,7.1
The Santa Clause 2,9021,Fantasy,2002.0,65000000,172855065,5.5
Hero,79,Drama,2002.0,31000000,177394432,7.2
The Adventures of Pluto Nash,11692,Action,2002.0,100000000,7103973,4.4
The Scorpion King,9334,Action,2002.0,60000000,165333180,5.3
Ice Age,425,Animation,2002.0,59000000,383257136,7.1
City By The Sea,13536,Crime,2002.0,40000000,22433915,5.7
May,10894,Drama,2002.0,500000,150277,6.3
Men with Brooms,34341,Comedy,2002.0,7500000,4245870,4.5
Martin Lawrence Live: Runteldat,20337,Comedy,2002.0,3000000,19184015,5.0
Reign of Fire,6278,Adventure,2002.0,60000000,43061982,6.0
28 Days Later,170,Horror,2002.0,5000000,82719885,7.1
Bowling for Columbine,1430,Documentary,2002.0,4000000,35564473,7.3
The Mothman Prophecies,2637,Drama,2002.0,32000000,55157539,6.1
Life or Something Like It,16643,Comedy,2002.0,40000000,16872671,5.7
Friday After Next,10426,Comedy,2002.0,20000000,33526835,6.0
Full Frontal,15186,Comedy,2002.0,2000000,2506446,4.8
The Count of Monte Cristo,11362,Action,2002.0,35000000,75395048,7.3
The Bourne Identity,2501,Action,2002.0,60000000,214034224,7.3
Road to Perdition,4147,Thriller,2002.0,80000000,181001478,7.3
